Date,TATAMOTORS_Open,TATAMOTORS_High,TATAMOTORS_Low,TATAMOTORS_Close,M&M_Open,M&M_High,M&M_Low,M&M_Close
03-05-2019,205,213.649994,203.050003,209.449997,645.049988,652.5,642.849976,645.799988
06-05-2019,204,204.5,198,199.800003,640,645,635.099976,638.5
07-05-2019,201.699997,202.850006,189.350006,190.949997,641.75,642.900024,634.200012,636
08-05-2019,190,190.899994,183.800003,185.100006,635.549988,637,619,621.650024
09-05-2019,184.300003,189.800003,182.300003,186.350006,620.900024,627.950012,616.099976,625.450012
10-05-2019,187,190.600006,184.300003,185.899994,626.25,631.849976,619,628.75
13-05-2019,186.199997,187.149994,179.600006,180.75,628.700012,628.700012,615,617.599976
14-05-2019,178.25,186.050003,177.800003,184.5,616.900024,620.549988,610.549988,614.25
15-05-2019,185.550003,185.949997,167.399994,169.449997,618,628.400024,606.950012,609.650024
16-05-2019,176,177.550003,172.800003,175.399994,610,612.650024,597.200012,605.25
17-05-2019,174.949997,177.699997,170.199997,176.850006,607,622.5,607,619.650024
20-05-2019,181.449997,192,179.25,190.149994,635,662.5,632.25,653.25
21-05-2019,185.25,186.899994,174.050003,176.800003,660,662.700012,634.400024,639.150024
22-05-2019,177.600006,180.399994,174.800003,179.100006,643.849976,643.849976,631.25,640.549988
23-05-2019,182.850006,182.850006,173.5,175.149994,650,655,635.099976,639.5
24-05-2019,177,183.5,175.350006,182.300003,644.75,667.5,637.849976,665.450012
27-05-2019,181.75,183.5,179.300003,181.350006,667.700012,683,665,679.349976
28-05-2019,181.350006,185.300003,179.800003,180.25,680,682.25,667.25,670.549988
29-05-2019,179.850006,180,175.350006,176.350006,668,677.5,660.849976,672.150024
30-05-2019,177.5,178.5,173.100006,175.149994,660,667.5,656.349976,661.700012
31-05-2019,177.800003,177.850006,170,172.600006,659.700012,665.950012,645.099976,647.049988
03-06-2019,170.5,175,168.399994,174.5,647.049988,659,635.049988,653.400024
04-06-2019,174.25,177.199997,172.399994,173.25,654.799988,659.400024,647.799988,650.75
06-06-2019,174.050003,175.850006,168.850006,169.699997,654.299988,655.5,631.349976,634.099976
07-06-2019,169.899994,171.699997,167.25,169.5,640,645.700012,630.049988,644.049988
10-06-2019,170.899994,172.050003,163.550003,166.199997,643.400024,649.400024,638.200012,646.950012
11-06-2019,166.850006,171.899994,165.649994,170.75,647.950012,647.950012,636,636.849976
12-06-2019,170.899994,172.199997,168.100006,169.050003,633,638.900024,629.450012,632.200012
13-06-2019,166.899994,168.899994,164.5,167.399994,632,642.700012,628.099976,641.049988
14-06-2019,167.5,167.5,163.5,164.199997,640.049988,641,633.400024,637.25
17-06-2019,163.75,164.149994,158,158.75,641,641.950012,622.25,625.049988
18-06-2019,159,161,156.75,158.300003,624,629.799988,620.099976,625.900024
19-06-2019,160,163.75,152.5,154.649994,629.849976,632.349976,608,615.150024
20-06-2019,153.449997,160,152.149994,159.25,614.799988,630.950012,611.25,627.150024
21-06-2019,155,160.75,154.5,158.899994,627,633.450012,622.25,627.450012
24-06-2019,158.699997,160.199997,156.199997,159.300003,626,637,626,634.849976
25-06-2019,158,161,156.850006,160.449997,635,644.650024,635,641.650024
26-06-2019,160.100006,162.199997,158.75,161.100006,640,647.5,640,643.5
27-06-2019,161.850006,168,161.100006,165.850006,645,660.799988,645,657.900024
28-06-2019,165.199997,166.75,161.350006,162.550003,659.799988,662.450012,651.5,655.349976
01-07-2019,163.699997,169.399994,163.199997,168,657.299988,663.450012,654.450012,660
02-07-2019,166.800003,167.350006,161.350006,163.75,661,668.5,656.299988,666.25
03-07-2019,163.75,165,161.699997,162.300003,668.950012,675,663.299988,669.25
04-07-2019,162.5,167.75,162,165.199997,671.5,674.200012,665.299988,672.150024
05-07-2019,165.149994,166.949997,159.5,160.199997,672,675.299988,638.5,642.049988
08-07-2019,159.350006,159.5,153.5,154.550003,640.349976,645.200012,626.200012,635.849976
09-07-2019,154,157.149994,152.75,155.800003,632,638.5,630,632.700012
10-07-2019,156.25,156.25,149.100006,151.649994,630,636.099976,619.099976,621.650024
11-07-2019,153,157.699997,150.350006,156.800003,625.400024,635.650024,623.599976,634.150024
12-07-2019,155.899994,162.850006,154,159.300003,634.099976,637,628.5,631.900024
15-07-2019,159,162.600006,157.850006,160.949997,632.049988,638,625.450012,631.849976
16-07-2019,159.800003,170.949997,159.050003,170,624.700012,627.900024,618.849976,622.900024
17-07-2019,170,172.350006,166.300003,167.899994,623,626.450012,615.299988,617.950012
18-07-2019,167.25,167.25,160,160.75,613.900024,616.450012,595,597.400024
19-07-2019,161.449997,162.399994,153.850006,154.850006,601.150024,601.5,570,571.299988
22-07-2019,155.449997,159.300003,155.25,156.75,571.299988,576.700012,559.900024,564.900024
23-07-2019,157.399994,159,154.800003,156.199997,566.099976,567,555.849976,559.099976
24-07-2019,156.350006,157.550003,150.5,151.25,557,557.900024,546,550
25-07-2019,151.300003,152.5,143.75,144.300003,550,553,541.900024,547.549988
26-07-2019,138.100006,150.149994,138.100006,147.149994,545.900024,566.400024,545,564.450012
29-07-2019,146.899994,146.899994,136.850006,137.550003,564,565,552.150024,553.150024
30-07-2019,138,139.699997,132.600006,133.449997,551.799988,561.299988,547.549988,548.75
31-07-2019,133.5,136.399994,132.5,135.600006,546.599976,553.799988,541.75,550
01-08-2019,135.5,136.300003,127.550003,129.550003,546,551.799988,539.299988,548.549988
02-08-2019,128.5,133.199997,127,130.699997,544.900024,563.849976,542.150024,556.450012
05-08-2019,128,128.199997,122.300003,123.75,550.450012,554.25,542.349976,545.450012
06-08-2019,123.050003,126.550003,121.75,122.5,543,552.25,543,549.450012
07-08-2019,122.599998,123.849998,116.5,117.400002,551.5,551.5,515,518.299988
08-08-2019,118,125,116.900002,124.050003,518.5,541.5,516.349976,539.549988
09-08-2019,124.5,126.5,120.699997,122.050003,540.900024,548.299988,530,545.549988
13-08-2019,123.800003,126.300003,121,121.949997,545,545,510.25,512.400024
14-08-2019,122.699997,123.800003,118.599998,120.900002,515.900024,525.849976,502.549988,523.549988
16-08-2019,119.900002,122.449997,117.349998,121.349998,524.700012,531.900024,515.549988,527.849976
19-08-2019,121.199997,122.599998,120,120.800003,527,535.75,518,520.549988
20-08-2019,120,124.800003,119,123.849998,522.900024,535,517.5,527.799988
21-08-2019,123,123,109.5,112.400002,528.299988,535.599976,518.099976,520.900024
22-08-2019,112,114,106.199997,107.699997,521.549988,523.75,509.850006,511.799988
23-08-2019,108.900002,111.599998,107.650002,111.050003,511,536.299988,509.25,533.25
26-08-2019,114.550003,115.400002,106.800003,110.550003,552.700012,552.700012,528.900024,544.299988
27-08-2019,112.699997,121.400002,111.800003,120.349998,547,559,544.5,554.049988
28-08-2019,120.550003,124,114.800003,116.349998,556.700012,559.900024,534.75,539.700012
29-08-2019,116.5,118.5,112.099998,114.300003,536,544.200012,524.25,528
30-08-2019,115.599998,117.300003,112,116.699997,530.599976,532.900024,519.049988,528.799988
03-09-2019,113.050003,115.349998,111.199997,112.650002,518.650024,521.900024,513,515.450012
04-09-2019,112,113,106,109.5,516,519.75,503.149994,505.700012
05-09-2019,109.75,119.349998,109.5,118.050003,506.850006,519.5,506.700012,517
06-09-2019,118.349998,122.300003,116.550003,121.25,519.450012,531,514.599976,529.5
09-09-2019,119,122.599998,117.349998,121.900002,523.650024,536.75,522,532.549988
11-09-2019,127,135,125.300003,134.350006,533.200012,548.25,533.200012,545.75
12-09-2019,134.600006,135.350006,126.699997,127.949997,546.099976,551.950012,540.25,543.599976
13-09-2019,129.199997,130.949997,125.5,129.550003,542,552.799988,541.5,551.25
